CCC_CODE	CODE_NAME	SHARE(%)	millions in USD	SHORT_CODE	year
TOTAL	"Netherlands
(CCC_CODE： ALL)"	100	6047.39	"Netherlands
(CCC_CODE： ALL)"	2020
8473	Parts and accessories (other than covers, carrying cases and the like) suitable for use solely or principally with machines of headings 84.70 to 84.72	10.558	638.48	Parts and accessories (other than covers, carrying cases and the like) suitable for use solely or principally with machines of headings 84.70 to 84.72	2020
8471	Automatic data processing machines and units thereof; magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included	10.458	632.46	Automatic data processing machines and units thereof	2020
8542	Electronic integrated circuits	7.477	452.16	Electronic integrated circuits	2020
8711	Motorcycles (including mopeds) and cycles fitted with an auxiliary motor, with or without side-cars; side-cars	7.158	432.86	Motorcycles (including mopeds) and cycles fitted with an auxiliary motor, with or without side-cars	2020
8486	Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.	5.718	345.78	Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays	2020
8517	Telephone sets, including telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network), other than transmission or reception apparatus of heading 84.43, 85.25, 85.27 or 85.28	5.358	324.0	Telephone sets, including telephones for cellular networks or for other wireless networks	2020
8714	Parts and accessories of vehicles of headings 87.11 to 87.13	5.257	317.88	Parts and accessories of vehicles of headings 87.11 to 87.13	2020
8523	Discs, tapes, solid-state non-volatile storage devices, smart cards and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the production of discs, but excluding products of Chapter 37	5.098	308.32	Discs, tapes, solid-state non-volatile storage devices, smart cards and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the production of discs, but excluding products of Chapter 37	2020
7318	Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter-pins, washers (including spring washers) and similar articles, of iron or steel	3.227	195.14	Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter-pins, washers (including spring washers) and similar articles, of iron or steel	2020
8712	Bicycles and other cycles (including delivery tricycles), not motorised	2.573	155.6	Bicycles and other cycles (including delivery tricycles), not motorised	2020
8525	Transmission apparatus for radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; television cameras, digital cameras and video camera recorders	2.112	127.71	Transmission apparatus for radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus	2020
8708	Parts and accessories of the motor vehicles of headings 87.01 to 87.05	1.136	68.69	Parts and accessories of the motor vehicles of headings 87.01 to 87.05	2020
9506	Articles and equipment for general physical exercise, gymnastics, athletics, other sports (including table-tennis) or outdoor games, not specified or included elsewhere in this Chapter; swimming pools and paddling pools	1.122	67.84	Articles and equipment for general physical exercise, gymnastics, athletics, other sports (including table-tennis) or outdoor games, not specified or included elsewhere in this Chapter	2020
3907	Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms	1.045	63.2	Polyacetals, other polyethers and epoxide resins, in primary forms	2020
8512	Electrical lighting or signalling equipment (excluding articles of heading 85.39), windsereen wipers, defrosters  and demisters, of a kind used for cycles or motor vehicles	0.931	56.28	Electrical lighting or signalling equipment (excluding articles of heading 85.39), windsereen wipers, defrosters  and demisters, of a kind used for cycles or motor vehicles	2020
8504	Electrical transformers, static converters (for example, rectifiers) and inductors	0.758	45.86	Electrical transformers, static converters (for example, rectifiers) and inductors	2020
8483	Transmission shafts (including cam shafts and crank shafts) and cranks; bearing housings and plain shaft bearings; gears and gearing; ball or roller screw; gear boxes and other speed changers, including torque converters; flywheels and pulleys, including pulley blocks; clutches and shaft couplings (including universal joints)	0.736	44.53	Transmission shafts (including cam shafts and crank shafts) and cranks	2020
4002	Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip; mixtures of any product of heading 40.01 with any product of this heading, in primary forms or in plates, sheets or strip	0.734	44.41	Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip	2020
2710	Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils	0.732	44.28	Petroleum oils and oils obtained from bituminous minerals, other than crude	2020
8507	Electric accumulators, including separators therefor, whether or not rectangular (including square)	0.667	40.33	Electric accumulators, including separators therefor, whether or not rectangular (including square)	2020
3926	Other articles of plastics and articles of other materials of headings 39.01 to 39.14.	0.637	38.53	Other articles of plastics and articles of other materials of headings 39.01 to 39.14.	2020
8529	Parts suitable for use solely or principally with the apparatus of headings 85.25 to 85.28	0.626	37.86	Parts suitable for use solely or principally with the apparatus of headings 85.25 to 85.28	2020
8543	Electrical machines and apparatus, having individual functions, not specified or included elsewhere in this Chapter	0.620	37.48	Electrical machines and apparatus, having individual functions, not specified or included elsewhere in this Chapter	2020
9002	Lenses, prisms, mirrors and other optical elements, of any material, mounted, being parts of or fittings for instruments or apparatus, other than such elements of glass not optically worked	0.578	34.98	Lenses, prisms, mirrors and other optical elements, of any material, mounted, being parts of or fittings for instruments or apparatus, other than such elements of glass not optically worked	2020
9031	Measuring or checking instruments, appliances and machines, not specified or included elsewhere in this Chapter; profile projectors	0.561	33.92	Measuring or checking instruments, appliances and machines, not specified or included elsewhere in this Chapter	2020
Others		24.123			
