CCC_CODE	CODE_NAME	SHARE(%)	millions in USD	SHORT_CODE	year
TOTAL	"Netherlands
(CCC_CODE： ALL)"	100	8093.16	"Netherlands
(CCC_CODE： ALL)"	2022
8471	Automatic data processing machines and units thereof; magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included	10.346	837.32	Automatic data processing machines and units thereof	2022
8473	Parts and accessories (other than covers, carrying cases and the like) suitable for use solely or principally with machines of headings 84.70 to 84.72	8.737	707.09	Parts and accessories (other than covers, carrying cases and the like) suitable for use solely or principally with machines of headings 84.70 to 84.72	2022
8517	Telephone sets, including telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network), other than transmission or reception apparatus of heading 84.43, 85.25, 85.27 or 85.28	6.839	553.47	Telephone sets, including telephones for cellular networks or for other wireless networks	2022
8714	Parts and accessories of vehicles of headings 87.11 to 87.13	6.519	527.56	Parts and accessories of vehicles of headings 87.11 to 87.13	2022
8486	Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.	6.252	505.99	Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays	2022
8542	Electronic integrated circuits	5.997	485.34	Electronic integrated circuits	2022
8711	Motorcycles (including mopeds) and cycles fitted with an auxiliary motor, with or without side-cars; side-cars	5.856	473.94	Motorcycles (including mopeds) and cycles fitted with an auxiliary motor, with or without side-cars	2022
2710	Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils	4.205	340.33	Petroleum oils and oils obtained from bituminous minerals, other than crude	2022
7318	Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter-pins, washers (including spring washers) and similar articles, of iron or steel	3.807	308.13	Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter-pins, washers (including spring washers) and similar articles, of iron or steel	2022
8523	Discs, tapes, solid-state non-volatile storage devices, smart cards and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the production of discs, but excluding products of Chapter 37	2.842	229.98	Discs, tapes, solid-state non-volatile storage devices, smart cards and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the production of discs, but excluding products of Chapter 37	2022
3907	Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms	2.785	225.37	Polyacetals, other polyethers and epoxide resins, in primary forms	2022
8525	Transmission apparatus for radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; television cameras, digital cameras and video camera recorders	1.873	151.58	Transmission apparatus for radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus	2022
8712	Bicycles and other cycles (including delivery tricycles), not motorised	1.812	146.67	Bicycles and other cycles (including delivery tricycles), not motorised	2022
8507	Electric accumulators, including separators therefor, whether or not rectangular (including square)	1.139	92.16	Electric accumulators, including separators therefor, whether or not rectangular (including square)	2022
2905	Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives	0.889	71.92	Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives	2022
8483	Transmission shafts (including cam shafts and crank shafts) and cranks; bearing housings and plain shaft bearings; gears and gearing; ball or roller screw; gear boxes and other speed changers, including torque converters; flywheels and pulleys, including pulley blocks; clutches and shaft couplings (including universal joints)	0.815	65.96	Transmission shafts (including cam shafts and crank shafts) and cranks	2022
4002	Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip; mixtures of any product of heading 40.01 with any product of this heading, in primary forms or in plates, sheets or strip	0.792	64.07	Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip	2022
8457	Machining centres, unit construction machines (single station) and multi-station transfer machines, for working metal	0.773	62.6	Machining centres, unit construction machines (single station) and multi-station transfer machines, for working metal	2022
3826	Biodiesel and mixtures thereof, not containing or containing less than 70 % by weight of petroleum oils or oils obtained from bituminous minerals	0.764	61.85	Biodiesel and mixtures thereof, not containing or containing less than 70 % by weight of petroleum oils or oils obtained from bituminous minerals	2022
8504	Electrical transformers, static converters (for example, rectifiers) and inductors	0.763	61.77	Electrical transformers, static converters (for example, rectifiers) and inductors	2022
8512	Electrical lighting or signalling equipment (excluding articles of heading 85.39), windsereen wipers, defrosters  and demisters, of a kind used for cycles or motor vehicles	0.746	60.4	Electrical lighting or signalling equipment (excluding articles of heading 85.39), windsereen wipers, defrosters  and demisters, of a kind used for cycles or motor vehicles	2022
8708	Parts and accessories of the motor vehicles of headings 87.01 to 87.05	0.730	59.09	Parts and accessories of the motor vehicles of headings 87.01 to 87.05	2022
9506	Articles and equipment for general physical exercise, gymnastics, athletics, other sports (including table-tennis) or outdoor games, not specified or included elsewhere in this Chapter; swimming pools and paddling pools	0.707	57.19	Articles and equipment for general physical exercise, gymnastics, athletics, other sports (including table-tennis) or outdoor games, not specified or included elsewhere in this Chapter	2022
9002	Lenses, prisms, mirrors and other optical elements, of any material, mounted, being parts of or fittings for instruments or apparatus, other than such elements of glass not optically worked	0.702	56.78	Lenses, prisms, mirrors and other optical elements, of any material, mounted, being parts of or fittings for instruments or apparatus, other than such elements of glass not optically worked	2022
9031	Measuring or checking instruments, appliances and machines, not specified or included elsewhere in this Chapter; profile projectors	0.601	48.63	Measuring or checking instruments, appliances and machines, not specified or included elsewhere in this Chapter	2022
Others		22.710			
